Prospect_ID,Lead_Origin,Lead_Source,Do_Not_Email,TotalVisits,Total_Time_Spent_on_Website,Page_Views_Per_Visit,Last_Activity,Specialization,How_did_you_hear_about_us,occupation,Newspaper,City,Activity_Score,Profile_Score,downloaded_brochure,Converted
7927b2df-8bba-4d29-b9a2-b6e0beafe620,API,Olark Chat,No,0,0.0,0.0,Page Visited on Website,Select,Select,Unemployed,No,Select,15,15,No,No
2a272436-5132-4136-86fa-dcc88c88f482,API,Organic Search,No,5,674.0,2.5,Email Opened,Select,Select,Unemployed,No,Select,15,15,No,No
8cc8c611-a219-4f35-ad23-fdfd2656bd8a,Landing Page Submission,Direct Traffic,No,2,1532.0,2.0,Email Opened,Business Administration,Select,Student,No,Mumbai,14,20,Yes,Yes
0cc2df48-7cf4-4e39-9de9-19797f9b38cc,Landing Page Submission,Direct Traffic,No,1,305.0,1.0,Unreachable,Media and Advertising,Word Of Mouth,Unemployed,No,Mumbai,13,17,No,No
3256f628-e534-4826-9d63-4a8b88782852,Landing Page Submission,Google,No,2,1428.0,1.0,Converted to Lead,Select,Other,Unemployed,No,Mumbai,15,18,No,Yes
2058ef08-2858-443e-a01f-a9237db2f5ce,API,Olark Chat,No,0,0.0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,No,Unknown,17,15,No,No
9fae7df4-169d-489b-afe4-0f3d752542ed,Landing Page Submission,Google,No,2,1640.0,2.0,Email Opened,Supply Chain Management,Online Search,Unemployed,No,Mumbai,14,20,No,Yes
20ef72a2-fb3b-45e0-924e-551c5fa59095,API,Olark Chat,No,0,0.0,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,No,Unknown,15,15,No,No
cfa0128c-a0da-4656-9d47-0aa4e67bf690,Landing Page Submission,Direct Traffic,No,2,,2.0,Email Opened,IT Projects Management,Unknown,Unknown,No,Thane & Outskirts,14,14,Yes,No
af465dfc-7204-4130-9e05-33231863c4b5,API,Google,No,4,58.0,4.0,Email Opened,Finance Management,Word Of Mouth,Unknown,No,Mumbai,13,16,No,No
2a369e35-ca95-4ca9-9e4f-9d27175aa320,Landing Page Submission,Organic Search,No,8,1351.0,8.0,Email Opened,Travel and Tourism,Select,Unemployed,No,Other Metro Cities,15,14,Yes,Yes
9bc8ce93-6144-49e0-9f9d-080fc980f83c,Landing Page Submission,Direct Traffic,No,8,1343.0,2.67,Page Visited on Website,Human Resource Management,Select,Unemployed,No,Thane & Outskirts,14,17,Yes,Yes
8bf76a52-2478-476b-8618-1688e07874ad,API,Organic Search,No,11,1538.0,11.0,Email Opened,Marketing Management,Select,Unemployed,No,Select,16,16,No,Yes
88867067-3750-4753-8d33-1c7d1db53b5e,Landing Page Submission,Organic Search,No,5,170.0,5.0,Email Opened,Business Administration,Select,Unemployed,No,Thane & Outskirts,14,17,Yes,No
a8531c22-fcf1-48f8-a711-fb5abf98ad87,Landing Page Submission,Direct Traffic,Yes,1,481.0,1.0,Email Bounced,Business Administration,Select,Unemployed,No,Select,16,17,No,No
25f4ac14-ff4b-4cd2-9c61-b44c85e19c8f,API,Organic Search,No,6,1012.0,6.0,Email Opened,Select,Select,Unemployed,No,Select,14,15,No,Yes
3abb7c77-1634-4083-9a9f-861068220611,API,Olark Chat,No,0,,0.0,Olark Chat Conversation,Unknown,Unknown,Unknown,No,Unknown,17,15,No,No
e5c3beca-a0b6-4b3f-8c01-0919fb9ca3f2,API,Referral Sites,No,6,973.0,6.0,Email Link Clicked,Select,Select,Unemployed,No,Select,13,13,No,No
82cb5fb0-2d97-4a39-a630-ab5fe2e7f18c,Landing Page Submission,Google,No,6,1688.0,3.0,Page Visited on Website,Marketing Management,Multiple Sources,Unemployed,No,Mumbai,15,18,No,Yes
4512c16a-e96a-4459-b9ec-c7d8fe8c4880,API,Organic Search,No,3,98.0,3.0,Page Visited on Website,Select,Select,Unemployed,No,Select,14,15,No,No
c4419c99-b002-408b-a6fd-fa100716592c,Landing Page Submission,Google,No,1,233.0,1.0,Unreachable,Media and Advertising,Online Search,Unemployed,No,Mumbai,13,17,No,No
fd71ab5b-53b8-4105-9960-efedc44962fa,API,Google,No,4,377.0,1.33,Page Visited on Website,Select,Select,Unemployed,No,Select,15,16,No,No
8fd38b83-5c32-4277-bcfb-499f34a01c56,Landing Page Submission,Google,No,1,1013.0,1.0,Converted to Lead,"Banking, Investment And Insurance",Advertisements,Unemployed,No,Mumbai,15,20,No,Yes
ecbc6e69-29a9-44bf-804a-13079ef301bc,Landing Page Submission,Google,No,4,771.0,4.0,Email Link Clicked,Finance Management,Student of SomeSchool,Unemployed,No,Mumbai,14,18,No,No
ecd117ca-375f-49ea-afd6-b52b84d00c69,API,Google,No,6,1137.0,1.5,Email Opened,Marketing Management,Select,Unemployed,No,Mumbai,14,18,Yes,Yes
31c326f0-4a9b-43a6-9006-99d3830fbcae,Landing Page Submission,Google,No,3,1068.0,3.0,Form Submitted on Website,Travel and Tourism,Other,Unemployed,No,Mumbai,14,16,No,Yes
c494aca4-8c8e-4081-9784-41eb6346015e,Landing Page Submission,Organic Search,No,4,1000.0,2.0,Email Opened,Finance Management,Select,Unemployed,No,Other Cities,11,18,Yes,Yes
